BARRIO,CONTACTOS
AGRONOMIA,7378
ALMAGRO,31420
BALVANERA,28616
BARRACAS,23106
BELGRANO,46936
BOCA,11495
BOEDO,12926
CABALLITO,50301
CHACARITA,11076
COGHLAN,8920
COLEGIALES,18637
CONSTITUCION,7569
FLORES,38462
FLORESTA,13589
LINIERS,17606
MATADEROS,19771
MONSERRAT,10716
MONTE CASTRO,15459
NUEVA POMPEYA,11762
NUÑEZ,26556
PALERMO,75068
PARQUE AVELLANEDA,14914
PARQUE CHACABUCO,16560
PARQUE CHAS,8948
PARQUE PATRICIOS,13559
PATERNAL,7255
PUERTO MADERO,1939
RECOLETA,30339
RETIRO,10646
SAAVEDRA,18232
SAN CRISTOBAL,11050
SAN NICOLAS,12526
SAN TELMO,5281
VELEZ SARSFIELD,11586
VERSALLES,5835
VILLA CRESPO,25748
VILLA DEL PARQUE,25224
VILLA DEVOTO,34361
VILLA GRAL. MITRE,11417
VILLA LUGANO,24853
VILLA LURO,11485
VILLA ORTUZAR,11150
VILLA PUEYRREDON,18985
VILLA REAL,5496
VILLA RIACHUELO,5311
VILLA SANTA RITA,13265
VILLA SOLDATI,9811
VILLA URQUIZA,40146
